Fe (at%),Ni (at%),Co (at%),Electrical Resistivity (??·cm)
45.2,2.5,52.3,8
46.17,2.21,51.62,8
47,2.21,50.79,8
47.97,1.92,50.11,8
48.81,1.73,49.46,8
49.58,1.34,49.08,8
50.57,0.86,48.58,8
51.37,0.56,48.06,8
52.06,0.17,47.76,8
45.79,2.31,51.9,8
46.62,2.31,51.07,8
47.64,1.92,50.44,8
48.51,1.83,49.66,8
52.46,10.79,36.75,10
53.26,10.01,36.73,10
54.01,9.33,36.66,10
54.77,8.64,36.59,10
55.6,7.96,36.44,10
56.3,7.37,36.32,10
56.97,6.69,36.34,10
57.6,6.1,36.3,10
58.3,5.51,36.19,10
58.97,4.83,36.2,10
59.66,4.44,35.9,10
60.51,3.56,35.93,10
61.26,2.87,35.87,10
62.06,2.09,35.85,10
62.65,1.4,35.95,10
63.37,0.62,36.01,10
52.64,10.6,36.76,10
53.51,10.01,36.48,10
54.23,9.23,36.54,10
55.01,8.64,36.34,10
55.9,7.86,36.24,10
56.62,7.08,36.31,10
57.4,6.49,36.11,10
58.02,5.9,36.07,10
58.91,5.12,35.97,10
53.25,10.21,36.55,10
54.13,9.43,36.44,10
54.83,8.84,36.33,10
55.54,8.25,36.21,10
56.33,7.67,36.01,10
57.03,7.08,35.89,10
57.65,6.49,35.86,10
58.45,5.71,35.84,10
26.26,0.05,73.69,10
26.91,0.25,72.84,10
27.16,0.75,72.09,10
27.86,0.85,71.3,10
28.31,1.44,70.25,10
28.91,1.74,69.35,10
29.3,2.13,68.57,10
29.76,2.53,67.71,10
30.23,2.92,66.85,10
30.62,3.32,66.06,10
31,3.71,65.28,10
31.47,4.11,64.42,10
31.86,4.5,63.64,10
32.29,4.8,62.91,10
32.76,5.2,62.05,10
33.23,5.59,61.18,10
33.65,6.08,60.27,10
33.98,6.58,59.44,10
34.5,6.88,58.63,10
34.97,7.27,57.76,10
35.3,7.76,56.93,10
35.51,8.35,56.14,10
36.11,8.65,55.24,10
36.74,9.05,54.21,10
37.04,9.44,53.51,10
37.51,9.84,52.65,10
37.98,10.23,51.79,10
38.4,10.73,50.87,10
38.61,11.32,50.08,10
39.09,11.52,49.39,10
39.59,12.01,48.4,10
40.27,12.31,47.42,10
41,12.51,46.49,10
41.64,12.91,45.46,10
42.37,13.11,44.53,10
43.14,13.21,43.65,10
43.92,13.31,42.77,10
44.85,13.12,42.03,10
45.63,13.22,41.15,10
46.55,13.03,40.42,10
47.23,13.33,39.44,10
48.16,13.13,38.71,10
49.18,12.74,38.08,10
40.87,12.61,46.52,10
41.65,12.71,45.64,10
42.43,12.81,44.76,10
43.11,13.11,43.78,10
43.89,13.21,42.9,10
44.67,13.31,42.02,10
45.45,13.42,41.14,10
46.27,13.42,40.31,10
47.2,13.23,39.58,10
48.12,13.03,38.84,10
49.09,12.74,38.16,10
49.87,12.35,37.78,10
45.33,13.32,41.35,10
40.53,12.11,47.35,10
41.17,12.51,46.32,10
41.9,12.71,45.39,10
42.58,13.01,44.41,10
43.41,13.01,43.58,10
44.14,13.21,42.65,10
43.18,13.31,43.51,10
44.15,13.02,42.83,10
42,13.01,44.99,10
42.88,12.91,44.21,10
43.7,12.92,43.38,10
3.03,0.93,96.04,10
3.75,0.14,96.11,10
2.98,1.02,95.99,10
2.83,2.01,95.16,10
2.08,33.76,64.16,10
2.19,32.87,64.94,10
2.16,32.09,65.75,10
2.17,31.4,66.43,10
2.18,30.71,67.11,10
2.27,30.02,67.71,10
2.27,29.34,68.39,10
2.2,28.65,69.15,10
2.09,27.86,70.05,10
2.18,27.17,70.65,10
2.19,26.48,71.33,10
2.02,25.99,71.99,10
2.03,25.3,72.67,10
1.95,24.61,73.43,10
1.96,23.93,74.11,10
1.64,23.24,75.13,10
1.43,22.65,75.92,10
0.96,22.25,76.79,10
0.47,21.56,77.97,10
0.4,7.11,92.5,10
0.96,6.13,92.91,10
1.53,5.15,93.32,10
1.83,36.12,62.05,10
1.59,37.1,61.31,10
1.45,37.89,60.66,10
1.53,38.57,59.9,10
1.44,39.26,59.3,10
1.12,40.24,58.64,10
1.11,40.93,57.96,10
0.96,41.91,57.13,10
0.56,42.89,56.55,10
3.24,91.87,4.89,10
3.71,92.26,4.02,10
4.01,92.66,3.33,10
4.35,93.15,2.5,10
4.74,93.55,1.72,10
4.81,94.24,0.95,10
5.11,94.63,0.26,10
3.18,92.16,4.66,10
3.7,92.46,3.84,10
3.95,92.95,3.1,10
4.07,93.54,2.38,10
4.59,93.84,1.57,10
3.1,92.16,4.74,10
3.42,92.85,3.73,10
3.89,93.25,2.86,10
1.18,87.83,11,10
1.3,88.42,10.28,10
1.68,88.81,9.5,10
1.94,89.31,8.76,10
2.01,89.99,7.99,10
1.44,88.81,9.75,10
1.69,89.3,9,10
1.94,89.8,8.26,10
1.1,87.14,11.76,10
1.04,87.93,11.03,10
0.87,86.79,12.33,10
0.56,86.34,13.09,10
0.53,85.8,13.67,10
0.36,85.53,14.11,10
0.33,84.81,14.85,10
57.52,12.98,29.5,12
58.16,12,29.83,12
58.85,11.61,29.53,12
59.59,10.63,29.78,12
60.32,9.65,30.03,12
60.8,8.67,30.53,12
61.45,7.69,30.86,12
62.27,6.71,31.02,12
63,5.73,31.27,12
63.6,4.85,31.55,12
64.24,4.07,31.7,12
65.06,3.58,31.36,12
65.46,2.6,31.94,12
66.13,1.91,31.96,12
66.72,1.23,32.06,12
67.54,0.74,31.72,12
22.32,0.13,77.54,12
23.05,0.33,76.61,12
23.44,0.73,75.83,12
24.1,0.73,75.17,12
24.7,1.03,74.27,12
24.78,1.72,73.51,12
25.22,1.82,72.96,12
25.69,2.21,72.1,12
26.35,2.22,71.43,12
26.74,2.61,70.65,12
27.25,2.91,69.84,12
27.61,3.2,69.19,12
28.04,3.5,68.46,12
28.56,3.8,67.64,12
29.19,4.2,66.61,12
29.66,4.59,65.75,12
29.99,5.08,64.92,12
30.21,5.48,64.31,12
30.88,5.48,63.64,12
31.43,5.88,62.7,12
31.81,6.27,61.92,12
32.33,6.57,61.1,12
32.8,6.97,60.24,12
33.18,7.36,59.46,12
33.57,7.76,58.68,12
34.08,8.05,57.86,12
34.55,8.45,57,12
34.94,8.84,56.22,12
35.36,9.34,55.31,12
35.74,9.73,54.53,12
36.16,10.23,53.61,12
36.59,10.52,52.88,12
37.15,10.92,51.94,12
37.19,11.51,51.31,12
37.83,11.71,50.46,12
38.42,12.2,49.38,12
38.85,12.5,48.65,12
39.02,12.99,47.98,12
39.54,13.29,47.17,12
39.97,13.59,46.44,12
40.49,13.88,45.63,12
40.91,14.38,44.71,12
41.08,14.87,44.05,12
41.83,14.87,43.3,12
41.98,15.56,42.45,12
42.71,15.76,41.52,12
43.35,16.16,40.5,12
44.13,16.26,39.61,12
44.86,16.46,38.68,12
45.54,16.76,37.7,12
46.32,16.86,36.82,12
47.09,16.96,35.94,12
47.97,16.87,35.16,12
48.85,16.77,34.38,12
49.67,16.78,33.55,12
50.55,16.68,32.77,12
51.47,16.49,32.04,12
52.35,16.4,31.26,12
53.27,16.21,30.52,12
53.95,16.01,30.04,12
54.64,15.62,29.74,12
52.63,16.5,30.87,12
53.53,16.01,30.46,12
54.27,15.52,30.21,12
42.18,15.66,42.16,12
43.01,15.67,41.33,12
43.59,16.16,40.25,12
44.32,16.36,39.32,12
45.15,16.36,38.48,12
45.83,16.66,37.5,12
46.66,16.67,36.67,12
47.34,16.96,35.69,12
48.12,17.07,34.81,12
49.05,16.87,34.08,12
49.92,16.78,33.3,12
50.7,16.88,32.42,12
51.67,16.59,31.74,12
52.5,16.59,30.91,12
48.49,17.17,34.35,12
49.31,17.17,33.52,12
50.38,16.68,32.93,12
51.21,16.69,32.1,12
51.99,16.79,31.22,12
50.88,16.69,32.44,12
51.66,16.79,31.55,12
52.68,16.4,30.92,12
49.78,17.07,33.15,12
50.6,17.08,32.32,12
48.91,16.97,34.11,12
9.24,36.55,54.21,12
9.01,37.53,53.46,12
8.85,38.51,52.64,12
8.62,39.49,51.89,12
8.38,40.47,51.14,12
8.15,41.46,50.4,12
7.91,42.44,49.65,12
7.65,43.13,49.22,12
7.42,44.11,48.47,12
7.27,45.09,47.65,12
7.11,46.07,46.82,12
7.01,46.96,46.04,12
6.77,47.94,45.29,12
6.6,48.63,44.78,12
6.16,49.51,44.33,12
6.25,50,43.75,12
6.03,50.79,43.19,12
6.32,51.38,42.31,12
5.8,52.26,41.94,12
5.74,53.05,41.21,12
5.69,53.83,40.48,12
5.59,54.52,39.89,12
5.5,55.21,39.29,12
5.71,55.8,38.49,12
5.75,56.39,37.86,12
5.28,57.17,37.55,12
5.31,57.96,36.73,12
5.2,58.84,35.95,12
5.1,59.73,35.18,12
5.17,60.42,34.41,12
4.98,61.3,33.72,12
5.01,62.09,32.9,12
4.91,62.97,32.12,12
4.9,63.66,31.44,12
4.94,64.25,30.81,12
5.01,64.94,30.05,12
4.92,65.63,29.45,12
4.78,66.41,28.81,12
4.86,67.1,28.04,12
4.8,67.89,27.31,12
5.05,68.38,26.57,12
4.87,69.26,25.87,12
4.81,70.05,25.14,12
4.72,70.74,24.54,12
4.76,71.33,23.91,12
4.62,72.11,23.27,12
4.66,72.7,22.63,12
4.7,73.29,22,12
4.82,73.88,21.29,12
4.69,74.67,20.64,12
4.84,75.36,19.8,12
4.75,76.05,19.2,12
4.88,76.64,18.49,12
4.87,77.33,17.81,12
4.94,78.01,17.04,12
4.93,78.7,16.36,12
4.97,79.29,15.73,12
5.05,79.98,14.97,12
5.04,80.67,14.29,12
5.25,81.26,13.49,12
5.19,82.05,12.76,12
5.31,82.64,12.05,12
5.44,83.23,11.34,12
5.55,84.01,10.44,12
5.67,84.6,9.73,12
5.69,85.39,8.91,12
5.82,85.98,8.2,12
6.2,86.38,7.42,12
6.46,86.87,6.67,12
6.7,87.56,5.74,12
6.69,88.25,5.06,12
6.86,88.74,4.4,12
6.85,89.43,3.72,12
7.24,89.82,2.94,12
7.36,90.41,2.23,12
7.35,91.1,1.55,12
7.39,91.69,0.92,12
7.3,92.38,0.32,12
5.06,68.87,26.07,12
4.87,69.76,25.37,12
4.87,70.44,24.69,12
4.86,71.13,24.01,12
4.8,71.92,23.28,12
4.84,72.51,22.65,12
4.88,73.1,22.02,12
4.87,73.79,21.34,12
4.87,74.47,20.66,12
4.91,75.06,20.03,12
4.98,75.75,19.27,12
4.97,76.44,18.59,12
5.01,77.03,17.96,12
5,77.72,17.28,12
5,78.41,16.6,12
5.3,78.8,15.9,12
5.24,79.59,15.17,12
5.23,80.28,14.49,12
5.27,80.87,13.86,12
5.45,81.36,13.19,12
5.49,81.95,12.56,12
5.66,82.44,11.9,12
5.52,83.23,11.25,12
5.59,83.92,10.49,12
5.72,84.51,9.78,12
5.89,85,9.11,12
6.06,85.49,8.45,12
6.31,85.98,7.7,12
5.77,83.23,11,12
5.88,84.02,10.11,12
6,84.61,9.39,12
6.19,85.39,8.42,12
5.6,82.74,11.67,12
5.4,80.28,14.32,12
5.34,81.06,13.59,12
5.15,79.78,15.07,12
9.59,33.99,56.42,12
8.05,0.16,91.79,12
7.91,0.95,91.14,12
7.9,1.64,90.46,12
8.21,2.03,89.76,12
8.28,2.72,89,12
8.32,3.31,88.37,12
8.13,4.19,87.67,12
8.21,4.88,86.91,12
8.33,5.47,86.2,12
8.24,6.16,85.6,12
8.36,6.75,84.88,12
8.36,7.44,84.2,12
8.43,8.13,83.44,12
8.49,9.01,82.5,12
8.52,9.8,81.68,12
8.63,10.59,80.79,12
8.62,11.28,80.11,12
8.69,11.96,79.34,12
8.68,12.65,78.66,12
8.72,13.24,78.03,12
8.8,13.93,77.27,12
8.79,14.62,76.59,12
8.87,15.31,75.83,12
8.99,15.9,75.11,12
9.06,16.59,74.35,12
9.22,17.28,73.5,12
9.03,18.16,72.81,12
9.16,18.75,72.09,12
9.15,19.44,71.41,12
9.22,20.13,70.65,12
9.25,20.91,69.84,12
9.32,21.6,69.07,12
9.23,22.29,68.48,12
9.36,22.88,67.76,12
9.35,23.57,67.08,12
9.47,24.16,66.37,12
9.45,25.04,65.51,12
9.44,25.73,64.83,12
9.7,26.22,64.08,12
9.6,26.91,63.48,12
9.94,27.41,62.65,12
9.85,28.09,62.06,12
9.84,28.78,61.38,12
9.92,29.47,60.61,12
9.81,30.35,59.83,12
9.92,31.14,58.94,12
9.86,31.93,58.21,12
9.73,32.71,57.56,12
9.85,33.3,56.85,12
9.58,34.19,56.23,12
8.46,8.23,83.31,12
8.75,8.82,82.43,12
8.79,9.41,81.8,12
8.74,10.19,81.07,12
8.89,10.88,80.22,12
9.02,11.47,79.51,12
8.91,12.36,78.73,12
8.99,13.05,77.97,12
9.11,13.64,77.25,12
9.15,14.23,76.62,12
9.18,15.01,75.81,12
9.35,15.51,75.15,12
9.16,16.39,74.45,12
9.37,16.98,73.65,12
9.41,17.57,73.02,12
9.4,18.26,72.34,12
9.57,18.75,71.68,12
9.51,19.54,70.95,12
9.46,20.32,70.22,12
9.53,21.01,69.46,12
9.44,21.7,68.86,12
9.65,22.29,68.06,12
9.51,23.08,67.41,12
9.67,23.77,66.57,12
9.87,24.36,65.77,12
9.9,25.14,64.96,12
9.63,26.03,64.35,12
10,26.62,63.38,12
10.02,27.41,62.57,12
8.22,0.16,91.62,12
8.34,0.75,90.91,12
8.2,1.54,90.26,12
8.45,2.03,89.51,12
8.58,2.62,88.8,12
8.52,3.41,88.07,12
8.38,4.2,87.42,12
8.5,4.79,86.71,12
8.53,5.57,85.9,12
8.47,6.36,85.17,12
8.6,6.95,84.45,12
8.8,7.54,83.66,12
