Fe (at%),Ni (at%),Co (at%),Maximum Permeability
0.39,34.54,65.08,1000
0.8,34.88,64.33,1000
1.27,35.08,63.65,1000
1.83,35.01,63.16,1000
1.97,35.42,62.61,1000
2.47,35.35,62.18,1000
2.74,35.62,61.64,1000
3.23,35.69,61.08,1000
3.4,36.03,60.57,1000
3.89,36.1,60.01,1000
4.25,36.3,59.45,1000
4.52,36.57,58.91,1000
4.85,36.84,58.31,1000
5.08,37.18,57.73,1000
5.41,37.46,57.14,1000
5.7,37.8,56.5,1000
6,38,56,1000
6.27,38.27,55.46,1000
6.45,38.61,54.94,1000
6.66,38.88,54.46,1000
6.89,39.22,53.88,1000
7.2,39.43,53.38,1000
7.31,39.77,52.92,1000
7.7,40.04,52.26,1000
7.86,40.52,51.62,1000
7.88,41.06,51.06,1000
8.02,41.47,50.51,1000
8.23,41.74,50.03,1000
8.74,41.88,49.38,1000
9.01,42.15,48.84,1000
9.1,42.56,48.35,1000
9.06,43.1,47.85,1000
9.28,43.58,47.15,1000
9.48,43.98,46.54,1000
9.56,44.39,46.04,1000
9.92,44.6,45.48,1000
9.92,45.07,45.01,1000
9.67,45.68,44.65,1000
9.78,46.02,44.19,1000
9.78,46.5,43.72,1000
9.99,46.77,43.24,1000
10.06,47.32,42.62,1000
9.96,47.86,42.18,1000
9.95,48.34,41.71,1000
9.94,48.81,41.24,1000
10.03,49.22,40.75,1000
9.99,49.77,40.25,1000
10,50.31,39.69,1000
10.03,50.72,39.25,1000
10.02,51.2,38.78,1000
9.98,51.74,38.28,1000
10.03,52.22,37.76,1000
10.05,52.63,37.32,1000
10.14,53.03,36.83,1000
10.53,53.17,36.3,1000
10.37,53.71,35.91,1000
10.07,54.33,35.61,1000
9.66,55.01,35.33,1000
9.59,55.62,34.79,1000
10.01,53.17,36.82,1000
10.19,53.51,36.3,1000
10.36,53.85,35.79,1000
10.23,54.46,35.31,1000
9.77,55.14,35.09,1000
9.72,55.82,34.46,1000
10.26,51.88,37.87,1000
10.55,52.22,37.24,1000
10.57,52.62,36.8,1000
10.6,53.03,36.37,1000
10.56,53.58,35.86,1000
10.21,50.58,39.2,1000
10.39,50.92,38.69,1000
10.25,51.54,38.21,1000
10.58,51.81,37.61,1000
10.01,49.02,40.97,1000
10.16,49.43,40.42,1000
10.21,49.9,39.89,1000
10.38,50.24,39.37,1000
10.5,50.58,38.92,1000
10.7,50.99,38.31,1000
10.51,51.6,37.89,1000
9.95,45,45.05,1000
9.79,45.55,44.66,1000
9.9,46.02,44.08,1000
9.83,46.5,43.67,1000
10.15,46.91,42.94,1000
10.14,47.39,42.47,1000
10.13,47.86,42,1000
10.22,48.27,41.51,1000
10.2,48.88,40.92,1000
10.43,49.22,40.34,1000
10.58,49.63,39.79,1000
10.6,50.04,39.36,1000
10.03,45.07,44.9,1000
9.84,45.68,44.48,1000
10.02,46.02,43.96,1000
10.1,46.43,43.47,1000
10.33,46.77,42.89,1000
10.23,47.32,42.45,1000
10.17,47.79,42.04,1000
10.59,48,41.42,1000
10.51,48.61,40.88,1000
10.57,49.29,40.14,1000
9.95,46.16,43.89,1000
10,46.64,43.37,1000
10.02,45.21,44.77,1000
9.94,45.82,44.23,1000
10.21,46.09,43.69,1000
10.24,46.5,43.26,1000
8.43,41.81,49.76,1000
8.7,42.08,49.22,1000
9.03,42.35,48.62,1000
8.83,42.96,48.2,1000
8.92,43.37,47.71,1000
9.24,43.64,47.11,1000
9.35,44.12,46.53,1000
9.34,44.6,46.06,1000
9.83,44.66,45.5,1000
9.82,45.14,45.04,1000
9.51,44.39,46.1,1000
9.27,43.71,47.02,1000
9.26,44.19,46.55,1000
9.14,42.35,48.51,1000
9.1,42.9,48,1000
9.4,43.1,47.5,1000
9.49,43.51,47.01,1000
9.63,43.92,46.46,1000
9.76,44.46,45.78,1000
8.3,41.94,49.75,1000
8.67,42.15,49.19,1000
8.65,42.76,48.59,1000
8.86,43.03,48.11,1000
7.99,40.72,51.29,1000
8.26,40.99,50.75,1000
8.44,41.33,50.23,1000
8.52,41.74,49.74,1000
8.15,41.33,50.52,1000
8.42,41.6,49.98,1000
2.21,35.28,62.5,1000
2.54,35.56,61.9,1000
3.03,35.62,61.35,1000
3.41,35.89,60.69,1000
3.77,36.1,60.13,1000
4.04,36.37,59.59,1000
4.33,36.71,58.96,1000
4.72,36.98,58.3,1000
4.99,37.25,57.76,1000
5.26,37.52,57.22,1000
5.62,37.73,56.65,1000
5.79,38.07,56.14,1000
6.06,38.34,55.6,1000
6.36,38.68,54.96,1000
6.62,38.95,54.42,1000
6.8,39.29,53.91,1000
6.85,39.77,53.38,1000
7.15,39.97,52.87,1000
7.18,40.38,52.44,1000
7.76,40.38,51.86,1000
7.77,40.92,51.3,1000
7.82,41.4,50.78,1000
0.27,34.62,65.11,1000
0.01,34.57,65.42,1000
9.56,56.55,33.89,1000
9.22,57.42,33.36,1000
8.85,58.25,32.91,1000
8.36,59.17,32.47,1000
7.88,60.04,32.08,1000
7.35,60.87,31.79,1000
6.87,61.53,31.6,1000
0.54,68.29,31.17,1000
0.99,67.75,31.26,1000
1.5,67.2,31.3,1000
2.09,66.72,31.19,1000
2.63,66.11,31.26,1000
3.04,65.63,31.33,1000
3.51,65.16,31.33,1000
3.8,64.82,31.39,1000
4.28,64.54,31.17,1000
4.71,63.93,31.36,1000
5.3,63.45,31.25,1000
5.71,62.98,31.31,1000
6.08,62.7,31.22,1000
6.19,62.02,31.79,1000
3.75,65.02,31.23,1000
4.42,64.61,30.97,1000
4.87,64.07,31.06,1000
5.41,63.45,31.14,1000
0.29,68.5,31.21,1000
0.29,68.5,31.21,1000
0.29,68.5,31.21,1000
82.73,4.14,13.13,1000
82.19,4.07,13.74,1000
81.61,4.07,14.32,1000
81.06,4,14.93,1000
80.45,4.07,15.48,1000
79.9,4.01,16.09,1000
79.32,4.01,16.67,1000
78.74,4.01,17.25,1000
78.16,4.01,17.83,1000
73.27,3.95,22.79,1000
72.65,4.02,23.33,1000
72.11,3.95,23.94,1000
71.46,4.09,24.45,1000
70.91,4.02,25.07,1000
70.33,4.02,25.65,1000
69.72,4.09,26.19,1000
69.17,4.02,26.8,1000
68.63,3.95,27.42,1000
68.05,3.95,28,1000
65.6,4.09,30.3,1000
65.06,4.03,30.92,1000
64.51,3.96,31.53,1000
63.93,3.96,32.11,1000
63.32,4.03,32.65,1000
62.77,3.96,33.27,1000
62.19,3.96,33.84,1000
61.61,3.96,34.42,1000
67.84,4.02,28.14,1000
67.26,4.02,28.72,1000
66.68,4.02,29.29,1000
66.22,4.03,29.76,1000
65.6,4.09,30.3,1000
61.4,4.03,34.56,1000
60.82,4.03,35.14,1000
60.25,4.03,35.72,1000
59.7,3.97,36.33,1000
59.09,4.04,36.88,1000
58.51,4.04,37.46,1000
57.93,4.04,38.04,1000
57.38,3.97,38.65,1000
56.77,4.04,39.2,1000
78.1,4.01,17.89,1000
77.52,4.01,18.47,1000
76.98,3.94,19.08,1000
76.36,4.01,19.62,1000
75.78,4.01,20.2,1000
75.2,4.01,20.78,1000
74.66,3.95,21.4,1000
74.04,4.01,21.94,1000
73.47,4.02,22.52,1000
91.35,7.05,1.6,1000
90.94,6.71,2.35,1000
90.46,6.51,3.03,1000
89.98,6.31,3.71,1000
89.54,6.03,4.42,1000
89.03,5.9,5.07,1000
88.52,5.76,5.72,1000
87.3,5.08,7.62,1000
86.82,4.88,8.3,1000
86.27,4.81,8.91,1000
85.8,4.61,9.59,1000
85.29,4.47,10.24,1000
84.74,4.41,10.85,1000
84.19,4.34,11.47,1000
83.65,4.27,12.08,1000
83.1,4.21,12.69,1000
88.56,5.56,5.88,1000
88.09,5.36,6.56,1000
87.61,5.15,7.24,1000
50.58,4.25,45.17,1000
50,4.25,45.75,1000
49.38,4.32,46.3,1000
48.8,4.32,46.88,1000
48.19,4.39,47.42,1000
47.61,4.39,48,1000
47.17,4.46,48.37,1000
46.59,4.46,48.95,1000
45.97,4.53,49.5,1000
45.32,4.67,50.01,1000
44.71,4.74,50.55,1000
44.13,4.74,51.13,1000
43.48,4.87,51.64,1000
42.8,5.08,52.12,1000
42.22,5.08,52.7,1000
41.57,5.22,53.21,1000
40.92,5.35,53.72,1000
40.31,5.42,54.27,1000
39.8,5.63,54.57,1000
39.12,5.83,55.05,1000
38.44,6.04,55.53,1000
37.68,6.38,55.94,1000
36.97,6.65,56.38,1000
36.68,6.99,56.33,1000
35.76,7.68,56.57,1000
34.99,8.52,56.49,1000
34.37,9.44,56.19,1000
33.8,10.36,55.84,1000
33.41,11.18,55.41,1000
33.18,12.03,54.78,1000
33.36,12.84,53.8,1000
33.68,13.4,52.92,1000
34.02,13.87,52.1,1000
34.41,14.42,51.17,1000
36.74,16.32,46.95,1000
36.29,16.04,47.66,1000
35.89,15.71,48.41,1000
35.4,15.3,49.31,1000
35.02,14.89,50.09,1000
47.04,23.58,29.38,1000
46.6,23.31,30.09,1000
46.16,23.04,30.8,1000
45.75,22.7,31.55,1000
45.27,22.5,32.23,1000
44.86,22.16,32.98,1000
44.01,21.55,34.44,1000
43.57,21.27,35.16,1000
43.16,20.93,35.91,1000
42.72,20.66,36.62,1000
42.24,20.46,37.3,1000
41.87,20.05,38.08,1000
41.42,19.78,38.8,1000
40.98,19.51,39.51,1000
40.54,19.24,40.22,1000
40.13,18.9,40.97,1000
39.72,18.56,41.72,1000
39.28,18.29,42.43,1000
38.87,17.95,43.18,1000
38.46,17.61,43.93,1000
38.02,17.34,44.65,1000
37.58,17.06,45.36,1000
44.41,21.93,33.66,1000
47.43,23.95,28.61,1000
47.95,24.21,27.84,1000
48.4,24.59,27.01,1000
48.96,24.92,26.13,1000
49.46,25.27,25.27,1000
49.95,25.7,24.35,1000
50.54,26.05,23.41,1000
51.21,26.36,22.44,1000
51.68,26.78,21.54,1000
52.36,27.18,20.46,1000
53.13,27.48,19.39,1000
53.65,27.81,18.54,1000
54.24,28.14,17.61,1000
55.06,28.4,16.54,1000
55.78,28.64,15.58,1000
56.59,29.06,14.34,1000
57.41,29.37,13.23,1000
58.08,29.63,12.3,1000
58.76,29.79,11.45,1000
59.49,29.86,10.65,1000
60.23,30.02,9.75,1000
60.81,30.14,9.05,1000
61.57,30.23,8.2,1000
62.25,30.21,7.55,1000
63.08,30.23,6.69,1000
64.06,30.23,5.71,1000
64.77,30.23,5,1000
65.73,30.06,4.2,1000
66.58,29.9,3.52,1000
67.49,29.68,2.82,1000
68.29,29.42,2.29,1000
69.04,29.16,1.8,1000
69.72,28.9,1.38,1000
70.57,28.52,0.91,1000
71.32,28.14,0.53,1000
72.12,27.65,0.24,1000
91.8,7.35,0.85,1000
92.26,7.68,0.07,1000
56.06,4.1,39.84,1000
55.31,4.12,40.57,1000
54.52,4.17,41.31,1000
53.87,4.1,42.03,1000
53.18,4.12,42.7,1000
52.51,4.13,43.36,1000
51.81,4.17,44.02,1000
51.23,4.25,44.53,1000
2.95,15.07,81.98,1000
3,15.55,81.46,1000
2.9,16.09,81.01,1000
2.95,16.57,80.49,1000
3,17.04,79.96,1000
2.95,17.59,79.46,1000
2.95,18.07,78.99,1000
2.94,18.54,78.52,1000
2.87,19.02,78.11,1000
2.83,19.56,77.61,1000
2.79,20.11,77.11,1000
2.84,20.58,76.58,1000
2.77,21.06,76.17,1000
2.76,21.54,75.7,1000
2.82,21.88,75.3,1000
2.51,22.49,75,1000
2.72,22.76,74.51,1000
2.87,23.17,73.96,1000
2.65,23.71,73.64,1000
2.66,24.39,72.95,1000
2.25,25.08,72.67,1000
1.68,25.76,72.56,1000
1.74,26.44,71.82,1000
1.23,27.12,71.66,1000
0.82,27.8,71.38,1000
0.38,28.34,71.28,1000
0.09,28.69,71.23,1000
2.63,22.83,74.54,1000
2.8,23.31,73.9,1000
2.28,23.99,73.73,1000
2.79,0.3,96.9,1000
2.96,0.78,96.26,1000
3.13,1.12,95.75,1000
3.09,1.66,95.24,1000
3.07,2.28,94.65,1000
2.82,2.89,94.29,1000
2.87,3.37,93.76,1000
2.8,3.98,93.23,1000
2.85,4.46,92.7,1000
2.8,5,92.2,1000
3.13,5.27,91.6,1000
3.33,5.68,90.99,1000
3.29,6.22,90.49,1000
3.34,6.7,89.96,1000
3.29,7.24,89.46,1000
3.25,7.79,88.96,1000
3.3,8.27,88.43,1000
3.35,8.74,87.91,1000
3.18,1.6,95.22,1000
3.08,2.14,94.78,1000
3.02,2.62,94.37,1000
3.19,2.96,93.85,1000
2.94,3.57,93.49,1000
2.93,4.05,93.02,1000
3.08,4.46,92.47,1000
3,5.07,91.93,1000
3.27,5.34,91.39,1000
3.08,9.48,87.44,1000
18.46,63.09,18.45,2000
19.16,62.62,18.22,2000
19.44,61.94,18.62,2000
19.85,61.25,18.9,2000
19.96,60.57,19.47,2000
20.71,59.89,19.4,2000
21.16,59.21,19.63,2000
21.51,58.53,19.96,2000
21.85,57.85,20.3,2000
22.37,57.17,20.47,2000
22.83,56.49,20.69,2000
23.23,55.81,20.97,2000
23.69,55.12,21.19,2000
24.03,54.44,21.53,2000
24.55,53.76,21.69,2000
24.89,53.08,22.03,2000
25.35,52.4,22.25,2000
25.81,51.72,22.48,2000
26.26,51.04,22.7,2000
26.55,50.36,23.09,2000
26.83,49.68,23.49,2000
27.58,48.99,23.42,2000
28.04,48.31,23.65,2000
28.5,47.63,23.87,2000
28.96,46.95,24.09,2000
29.36,46.27,24.37,2000
29.65,45.59,24.77,2000
29.81,44.91,25.28,2000
30.27,44.23,25.5,2000
30.62,43.55,25.84,2000
31.02,42.86,26.12,2000
31.36,42.18,26.46,2000
31.82,41.5,26.68,2000
32.1,40.82,27.07,2000
32.56,40.14,27.3,2000
33.02,39.46,27.52,2000
33.48,38.78,27.74,2000
34,38.1,27.91,2000
34.17,37.42,28.42,2000
34.39,36.74,28.87,2000
34.74,36.05,29.21,2000
35.43,35.37,29.2,2000
35.77,34.69,29.54,2000
36.23,34.01,29.76,2000
36.34,33.33,30.33,2000
36.74,32.65,30.61,2000
37.26,31.97,30.78,2000
37.82,31.42,30.76,2000
38.17,31.08,30.75,2000
38.52,30.6,30.87,2000
39.02,30.2,30.79,2000
39.55,29.72,30.73,2000
40.07,29.38,30.55,2000
40.63,28.83,30.54,2000
41.05,28.36,30.6,2000
41.61,28.15,30.24,2000
42.18,27.95,29.88,2000
42.59,27.47,29.94,2000
43.04,27.74,29.22,2000
