Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
0.63,85.99,13.38,79.58,,,,,,,,,,,,,,,,,,,,,,
1.25,85.14,13.61,79.58,,,,,,,,,,,,,,,,,,,,,,
2.53,83.47,14.01,79.58,,,,,,,,,,,,,,,,,,,,,,
4.43,81.08,14.48,79.58,,,,,,,,,,,,,,,,,,,,,,
5.71,79.69,14.6,79.58,,,,,,,,,,,,,,,,,,,,,,
8.12,77.16,14.72,79.58,,,,,,,,,,,,,,,,,,,,,,
9.26,76.05,14.69,79.58,,,,,,,,,,,,,,,,,,,,,,
10.4,74.89,14.71,79.58,,,,,,,,,,,,,,,,,,,,,,
11.63,73.68,14.69,79.58,,,,,,,,,,,,,,,,,,,,,,
12.88,72.27,14.85,79.58,,,,,,,,,,,,,,,,,,,,,,
14.16,70.79,15.05,79.58,,,,,,,,,,,,,,,,,,,,,,
15.5,69.23,15.27,79.58,,,,,,,,,,,,,,,,,,,,,,
15.97,68.63,15.39,79.58,,,,,,,,,,,,,,,,,,,,,,
17.64,66.41,15.95,79.58,,,,,,,,,,,,,,,,,,,,,,
19.27,64.16,16.57,79.58,,,,,,,,,,,,,,,,,,,,,,
19.75,63.37,16.87,79.58,,,,,,,,,,,,,,,,,,,,,,
20.87,61.71,17.42,79.58,,,,,,,,,,,,,,,,,,,,,,
21.37,60.78,17.85,79.58,,,,,,,,,,,,,,,,,,,,,,
21.91,59.76,18.33,79.58,,,,,,,,,,,,,,,,,,,,,,
22.3,59.09,18.61,79.58,,,,,,,,,,,,,,,,,,,,,,
23.45,57.01,19.54,79.58,,,,,,,,,,,,,,,,,,,,,,
24.45,55.14,20.41,79.58,,,,,,,,,,,,,,,,,,,,,,
25.26,53.42,21.32,79.58,,,,,,,,,,,,,,,,,,,,,,
28.63,46.76,24.61,79.58,,,,,,,,,,,,,,,,,,,,,,
27.56,48.66,23.79,79.58,,,,,,,,,,,,,,,,,,,,,,
29.62,44.89,25.5,79.58,,,,,,,,,,,,,,,,,,,,,,
30.58,43.34,26.08,79.58,,,,,,,,,,,,,,,,,,,,,,
32.43,40.74,26.83,79.58,,,,,,,,,,,,,,,,,,,,,,
33.69,39.19,27.12,79.58,,,,,,,,,,,,,,,,,,,,,,
35.62,37.2,27.18,79.58,,,,,,,,,,,,,,,,,,,,,,
70.02,29.95,0.03,79.58,,,,,,,,,,,,,,,,,,,,,,
69.56,29.88,0.56,79.58,,,,,,,,,,,,,,,,,,,,,,
68.81,29.93,1.26,79.58,,,,,,,,,,,,,,,,,,,,,,
68.21,29.98,1.81,79.58,,,,,,,,,,,,,,,,,,,,,,
67.6,30.03,2.37,79.58,,,,,,,,,,,,,,,,,,,,,,
66.9,30.17,2.93,79.58,,,,,,,,,,,,,,,,,,,,,,
66.16,30.36,3.48,79.58,,,,,,,,,,,,,,,,,,,,,,
65.2,30.55,4.25,79.58,,,,,,,,,,,,,,,,,,,,,,
64.28,30.81,4.91,79.58,,,,,,,,,,,,,,,,,,,,,,
63.3,31,5.7,79.58,,,,,,,,,,,,,,,,,,,,,,
62.47,31.26,6.27,79.58,,,,,,,,,,,,,,,,,,,,,,
