Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
38.15,20.32,41.53,318.31,,,,,,,,,,,,,,,,,,,,,,
37.7,20.05,42.25,318.31,,,,,,,,,,,,,,,,,,,,,,
39.77,21.27,38.97,318.31,,,,,,,,,,,,,,,,,,,,,,
49.01,25.57,25.42,318.31,,,,,,,,,,,,,,,,,,,,,,
48.5,25.44,26.07,318.31,,,,,,,,,,,,,,,,,,,,,,
48.02,25.23,26.75,318.31,,,,,,,,,,,,,,,,,,,,,,
47.53,25.03,27.43,318.31,,,,,,,,,,,,,,,,,,,,,,
47.05,24.83,28.11,318.31,,,,,,,,,,,,,,,,,,,,,,
46.57,24.63,28.8,318.31,,,,,,,,,,,,,,,,,,,,,,
46.09,24.43,29.48,318.31,,,,,,,,,,,,,,,,,,,,,,
45.65,24.16,30.19,318.31,,,,,,,,,,,,,,,,,,,,,,
45.17,23.96,30.88,318.31,,,,,,,,,,,,,,,,,,,,,,
44.72,23.69,31.59,318.31,,,,,,,,,,,,,,,,,,,,,,
44.24,23.49,32.27,318.31,,,,,,,,,,,,,,,,,,,,,,
43.76,23.28,32.96,318.31,,,,,,,,,,,,,,,,,,,,,,
43.28,23.08,33.64,318.31,,,,,,,,,,,,,,,,,,,,,,
42.83,22.81,34.35,318.31,,,,,,,,,,,,,,,,,,,,,,
42.35,22.61,35.04,318.31,,,,,,,,,,,,,,,,,,,,,,
41.9,22.34,35.75,318.31,,,,,,,,,,,,,,,,,,,,,,
41.42,22.14,36.44,318.31,,,,,,,,,,,,,,,,,,,,,,
40.98,21.87,37.15,318.31,,,,,,,,,,,,,,,,,,,,,,
40.5,21.67,37.83,318.31,,,,,,,,,,,,,,,,,,,,,,
40.05,21.4,38.55,318.31,,,,,,,,,,,,,,,,,,,,,,
39.6,21.13,39.27,318.31,,,,,,,,,,,,,,,,,,,,,,
39.12,20.93,39.95,318.31,,,,,,,,,,,,,,,,,,,,,,
50.66,26.27,23.07,318.31,,,,,,,,,,,,,,,,,,,,,,
50.14,26.16,23.7,318.31,,,,,,,,,,,,,,,,,,,,,,
49.7,25.98,24.32,318.31,,,,,,,,,,,,,,,,,,,,,,
49.28,25.84,24.88,318.31,,,,,,,,,,,,,,,,,,,,,,
51.22,26.36,22.42,318.31,,,,,,,,,,,,,,,,,,,,,,
51.94,26.61,21.45,318.31,,,,,,,,,,,,,,,,,,,,,,
52.52,26.84,20.64,318.31,,,,,,,,,,,,,,,,,,,,,,
53.47,27.02,19.51,318.31,,,,,,,,,,,,,,,,,,,,,,
53.02,26.97,20.01,318.31,,,,,,,,,,,,,,,,,,,,,,
54.18,27.29,18.53,318.31,,,,,,,,,,,,,,,,,,,,,,
54.84,27.4,17.76,318.31,,,,,,,,,,,,,,,,,,,,,,
55.69,27.53,16.77,318.31,,,,,,,,,,,,,,,,,,,,,,
56.28,27.67,16.05,318.31,,,,,,,,,,,,,,,,,,,,,,
56.9,27.8,15.3,318.31,,,,,,,,,,,,,,,,,,,,,,
57.65,27.8,14.55,318.31,,,,,,,,,,,,,,,,,,,,,,
58.49,27.93,13.58,318.31,,,,,,,,,,,,,,,,,,,,,,
59.33,27.98,12.69,318.31,,,,,,,,,,,,,,,,,,,,,,
60.14,28.09,11.77,318.31,,,,,,,,,,,,,,,,,,,,,,
60.88,28.11,11.02,318.31,,,,,,,,,,,,,,,,,,,,,,
61.45,28.1,10.45,318.31,,,,,,,,,,,,,,,,,,,,,,
62,28.1,9.9,318.31,,,,,,,,,,,,,,,,,,,,,,
62.67,28.1,9.23,318.31,,,,,,,,,,,,,,,,,,,,,,
63.58,28.09,8.33,318.31,,,,,,,,,,,,,,,,,,,,,,
64.4,28.11,7.49,318.31,,,,,,,,,,,,,,,,,,,,,,
65.14,28.08,6.78,318.31,,,,,,,,,,,,,,,,,,,,,,
65.84,28.01,6.15,318.31,,,,,,,,,,,,,,,,,,,,,,
66.6,28.03,5.37,318.31,,,,,,,,,,,,,,,,,,,,,,
67.31,27.95,4.74,318.31,,,,,,,,,,,,,,,,,,,,,,
68.12,27.9,3.98,318.31,,,,,,,,,,,,,,,,,,,,,,
68.77,27.85,3.37,318.31,,,,,,,,,,,,,,,,,,,,,,
69.37,27.81,2.83,318.31,,,,,,,,,,,,,,,,,,,,,,
70.04,27.71,2.25,318.31,,,,,,,,,,,,,,,,,,,,,,
70.66,27.73,1.61,318.31,,,,,,,,,,,,,,,,,,,,,,
71.29,27.7,1.01,318.31,,,,,,,,,,,,,,,,,,,,,,
71.92,27.61,0.47,318.31,,,,,,,,,,,,,,,,,,,,,,
72.35,27.65,0,318.31,,,,,,,,,,,,,,,,,,,,,,
44.67,4.43,50.9,318.31,,,,,,,,,,,,,,,,,,,,,,
44.08,4.43,51.48,318.31,,,,,,,,,,,,,,,,,,,,,,
43.57,4.3,52.13,318.31,,,,,,,,,,,,,,,,,,,,,,
43.02,4.24,52.74,318.31,,,,,,,,,,,,,,,,,,,,,,
42.47,4.17,53.35,318.31,,,,,,,,,,,,,,,,,,,,,,
41.96,4.04,54,318.31,,,,,,,,,,,,,,,,,,,,,,
41.41,3.97,54.61,318.31,,,,,,,,,,,,,,,,,,,,,,
40.9,3.84,55.26,318.31,,,,,,,,,,,,,,,,,,,,,,
40.38,3.71,55.91,318.31,,,,,,,,,,,,,,,,,,,,,,
39.84,3.64,56.52,318.31,,,,,,,,,,,,,,,,,,,,,,
39.32,3.51,57.17,318.31,,,,,,,,,,,,,,,,,,,,,,
38.81,3.38,57.82,318.31,,,,,,,,,,,,,,,,,,,,,,
38.29,3.24,58.46,318.31,,,,,,,,,,,,,,,,,,,,,,
37.78,3.11,59.11,318.31,,,,,,,,,,,,,,,,,,,,,,
37.3,2.91,59.79,318.31,,,,,,,,,,,,,,,,,,,,,,
36.78,2.77,60.44,318.31,,,,,,,,,,,,,,,,,,,,,,
36.24,2.71,61.05,318.31,,,,,,,,,,,,,,,,,,,,,,
35.76,2.51,61.74,318.31,,,,,,,,,,,,,,,,,,,,,,
35.28,2.31,62.42,318.31,,,,,,,,,,,,,,,,,,,,,,
34.8,2.1,63.1,318.31,,,,,,,,,,,,,,,,,,,,,,
34.31,1.9,63.78,318.31,,,,,,,,,,,,,,,,,,,,,,
33.77,1.84,64.39,318.31,,,,,,,,,,,,,,,,,,,,,,
57.33,4.97,37.69,318.31,,,,,,,,,,,,,,,,,,,,,,
56.72,5.05,38.24,318.31,,,,,,,,,,,,,,,,,,,,,,
56.14,5.05,38.82,318.31,,,,,,,,,,,,,,,,,,,,,,
55.55,5.05,39.39,318.31,,,,,,,,,,,,,,,,,,,,,,
54.97,5.06,39.97,318.31,,,,,,,,,,,,,,,,,,,,,,
54.39,5.06,40.55,318.31,,,,,,,,,,,,,,,,,,,,,,
53.84,4.99,41.16,318.31,,,,,,,,,,,,,,,,,,,,,,
53.23,5.06,41.71,318.31,,,,,,,,,,,,,,,,,,,,,,
52.65,5.07,42.29,318.31,,,,,,,,,,,,,,,,,,,,,,
52.1,5,42.9,318.31,,,,,,,,,,,,,,,,,,,,,,
51.52,5.01,43.48,318.31,,,,,,,,,,,,,,,,,,,,,,
50.93,5.01,44.06,318.31,,,,,,,,,,,,,,,,,,,,,,
50.35,5.01,44.63,318.31,,,,,,,,,,,,,,,,,,,,,,
49.8,4.95,45.25,318.31,,,,,,,,,,,,,,,,,,,,,,
49.22,4.95,45.83,318.31,,,,,,,,,,,,,,,,,,,,,,
48.64,4.95,46.4,318.31,,,,,,,,,,,,,,,,,,,,,,
48.09,4.89,47.02,318.31,,,,,,,,,,,,,,,,,,,,,,
47.58,4.76,47.66,318.31,,,,,,,,,,,,,,,,,,,,,,
47,4.76,48.24,318.31,,,,,,,,,,,,,,,,,,,,,,
46.48,4.63,48.89,318.31,,,,,,,,,,,,,,,,,,,,,,
45.94,4.56,49.5,318.31,,,,,,,,,,,,,,,,,,,,,,
45.35,4.56,50.08,318.31,,,,,,,,,,,,,,,,,,,,,,
34.29,1.84,63.87,318.31,,,,,,,,,,,,,,,,,,,,,,
33.81,1.63,64.56,318.31,,,,,,,,,,,,,,,,,,,,,,
33.36,1.36,65.27,318.31,,,,,,,,,,,,,,,,,,,,,,
32.92,1.09,65.99,318.31,,,,,,,,,,,,,,,,,,,,,,
32.44,0.89,66.67,318.31,,,,,,,,,,,,,,,,,,,,,,
31.99,0.62,67.39,318.31,,,,,,,,,,,,,,,,,,,,,,
31.51,0.42,68.07,318.31,,,,,,,,,,,,,,,,,,,,,,
30.96,0.36,68.68,318.31,,,,,,,,,,,,,,,,,,,,,,
61.24,4.82,33.95,318.31,,,,,,,,,,,,,,,,,,,,,,
60.66,4.82,34.52,318.31,,,,,,,,,,,,,,,,,,,,,,
60.04,4.89,35.07,318.31,,,,,,,,,,,,,,,,,,,,,,
59.46,4.89,35.65,318.31,,,,,,,,,,,,,,,,,,,,,,
58.91,4.83,36.26,318.31,,,,,,,,,,,,,,,,,,,,,,
58.36,4.76,36.87,318.31,,,,,,,,,,,,,,,,,,,,,,
57.68,4.97,37.35,318.31,,,,,,,,,,,,,,,,,,,,,,
57.1,4.98,37.93,318.31,,,,,,,,,,,,,,,,,,,,,,
73.12,4.48,22.4,318.31,,,,,,,,,,,,,,,,,,,,,,
72.57,4.41,23.01,318.31,,,,,,,,,,,,,,,,,,,,,,
71.99,4.42,23.59,318.31,,,,,,,,,,,,,,,,,,,,,,
71.38,4.49,24.14,318.31,,,,,,,,,,,,,,,,,,,,,,
70.8,4.49,24.71,318.31,,,,,,,,,,,,,,,,,,,,,,
70.21,4.49,25.29,318.31,,,,,,,,,,,,,,,,,,,,,,
69.63,4.5,25.87,318.31,,,,,,,,,,,,,,,,,,,,,,
69.05,4.5,26.45,318.31,,,,,,,,,,,,,,,,,,,,,,
68.47,4.5,27.03,318.31,,,,,,,,,,,,,,,,,,,,,,
67.89,4.51,27.61,318.31,,,,,,,,,,,,,,,,,,,,,,
67.31,4.51,28.18,318.31,,,,,,,,,,,,,,,,,,,,,,
66.66,4.65,28.69,318.31,,,,,,,,,,,,,,,,,,,,,,
66.07,4.65,29.27,318.31,,,,,,,,,,,,,,,,,,,,,,
65.49,4.66,29.85,318.31,,,,,,,,,,,,,,,,,,,,,,
64.91,4.66,30.43,318.31,,,,,,,,,,,,,,,,,,,,,,
64.33,4.66,31.01,318.31,,,,,,,,,,,,,,,,,,,,,,
63.75,4.67,31.59,318.31,,,,,,,,,,,,,,,,,,,,,,
63.17,4.67,32.16,318.31,,,,,,,,,,,,,,,,,,,,,,
62.55,4.74,32.71,318.31,,,,,,,,,,,,,,,,,,,,,,
61.94,4.81,33.25,318.31,,,,,,,,,,,,,,,,,,,,,,
91.74,6.82,1.43,318.31,,,,,,,,,,,,,,,,,,,,,,
91.19,6.76,2.05,318.31,,,,,,,,,,,,,,,,,,,,,,
90.68,6.63,2.7,318.31,,,,,,,,,,,,,,,,,,,,,,
90.13,6.56,3.31,318.31,,,,,,,,,,,,,,,,,,,,,,
89.62,6.43,3.96,318.31,,,,,,,,,,,,,,,,,,,,,,
89.07,6.36,4.57,318.31,,,,,,,,,,,,,,,,,,,,,,
88.52,6.3,5.18,318.31,,,,,,,,,,,,,,,,,,,,,,
87.97,6.23,5.79,318.31,,,,,,,,,,,,,,,,,,,,,,
87.42,6.17,6.41,318.31,,,,,,,,,,,,,,,,,,,,,,
86.91,6.03,7.05,318.31,,,,,,,,,,,,,,,,,,,,,,
86.36,5.97,7.67,318.31,,,,,,,,,,,,,,,,,,,,,,
85.81,5.9,8.28,318.31,,,,,,,,,,,,,,,,,,,,,,
85.3,5.77,8.93,318.31,,,,,,,,,,,,,,,,,,,,,,
84.75,5.71,9.54,318.31,,,,,,,,,,,,,,,,,,,,,,
84.2,5.64,10.15,318.31,,,,,,,,,,,,,,,,,,,,,,
83.66,5.58,10.77,318.31,,,,,,,,,,,,,,,,,,,,,,
83.14,5.44,11.41,318.31,,,,,,,,,,,,,,,,,,,,,,
82.56,5.45,11.99,318.31,,,,,,,,,,,,,,,,,,,,,,
82.05,5.31,12.64,318.31,,,,,,,,,,,,,,,,,,,,,,
81.5,5.25,13.25,318.31,,,,,,,,,,,,,,,,,,,,,,
80.95,5.18,13.87,318.31,,,,,,,,,,,,,,,,,,,,,,
80.64,5.12,14.25,318.31,,,,,,,,,,,,,,,,,,,,,,
80.09,5.05,14.86,318.31,,,,,,,,,,,,,,,,,,,,,,
79.51,5.06,15.44,318.31,,,,,,,,,,,,,,,,,,,,,,
78.99,4.92,16.09,318.31,,,,,,,,,,,,,,,,,,,,,,
78.44,4.86,16.7,318.31,,,,,,,,,,,,,,,,,,,,,,
77.93,4.72,17.35,318.31,,,,,,,,,,,,,,,,,,,,,,
77.35,4.73,17.92,318.31,,,,,,,,,,,,,,,,,,,,,,
76.8,4.66,18.54,318.31,,,,,,,,,,,,,,,,,,,,,,
76.25,4.6,19.15,318.31,,,,,,,,,,,,,,,,,,,,,,
75.67,4.6,19.73,318.31,,,,,,,,,,,,,,,,,,,,,,
75.12,4.54,20.34,318.31,,,,,,,,,,,,,,,,,,,,,,
74.58,4.47,20.95,318.31,,,,,,,,,,,,,,,,,,,,,,
73.99,4.47,21.53,318.31,,,,,,,,,,,,,,,,,,,,,,
73.41,4.48,22.11,318.31,,,,,,,,,,,,,,,,,,,,,,
92.89,7.09,0.02,318.31,,,,,,,,,,,,,,,,,,,,,,
92.4,6.89,0.71,318.31,,,,,,,,,,,,,,,,,,,,,,
3.76,15.95,80.28,318.31,,,,,,,,,,,,,,,,,,,,,,
3.79,14.73,81.48,318.31,,,,,,,,,,,,,,,,,,,,,,
3.75,13.64,82.61,318.31,,,,,,,,,,,,,,,,,,,,,,
3.77,12.42,83.81,318.31,,,,,,,,,,,,,,,,,,,,,,
3.53,11.74,84.74,318.31,,,,,,,,,,,,,,,,,,,,,,
3.92,10.71,85.37,318.31,,,,,,,,,,,,,,,,,,,,,,
3.67,10.03,86.29,318.31,,,,,,,,,,,,,,,,,,,,,,
3.63,8.95,87.42,318.31,,,,,,,,,,,,,,,,,,,,,,
3.59,7.86,88.55,318.31,,,,,,,,,,,,,,,,,,,,,,
3.45,6.97,89.58,318.31,,,,,,,,,,,,,,,,,,,,,,
3.76,5.75,90.49,318.31,,,,,,,,,,,,,,,,,,,,,,
3.42,5.27,91.31,318.31,,,,,,,,,,,,,,,,,,,,,,
3.31,4.32,92.37,318.31,,,,,,,,,,,,,,,,,,,,,,
3.23,3.3,93.47,318.31,,,,,,,,,,,,,,,,,,,,,,
3.12,2.35,94.53,318.31,,,,,,,,,,,,,,,,,,,,,,
2.88,1.67,95.45,318.31,,,,,,,,,,,,,,,,,,,,,,
3.32,1.12,95.56,318.31,,,,,,,,,,,,,,,,,,,,,,
2.94,0.72,96.34,318.31,,,,,,,,,,,,,,,,,,,,,,
3.26,24.26,72.49,318.31,,,,,,,,,,,,,,,,,,,,,,
3.45,22.69,73.86,318.31,,,,,,,,,,,,,,,,,,,,,,
3.54,21.33,75.13,318.31,,,,,,,,,,,,,,,,,,,,,,
3.5,20.24,76.26,318.31,,,,,,,,,,,,,,,,,,,,,,
3.62,18.95,77.43,318.31,,,,,,,,,,,,,,,,,,,,,,
3,27.12,69.88,318.31,,,,,,,,,,,,,,,,,,,,,,
3.06,25.82,71.11,318.31,,,,,,,,,,,,,,,,,,,,,,
2.99,24.8,72.21,318.31,,,,,,,,,,,,,,,,,,,,,,
1.94,30.8,67.26,318.31,,,,,,,,,,,,,,,,,,,,,,
2.57,28.34,69.09,318.31,,,,,,,,,,,,,,,,,,,,,,
2.05,30.46,67.49,318.31,,,,,,,,,,,,,,,,,,,,,,
2.54,29.23,68.23,318.31,,,,,,,,,,,,,,,,,,,,,,
2.35,43.59,54.07,318.31,,,,,,,,,,,,,,,,,,,,,,
2.03,43.04,54.92,318.31,,,,,,,,,,,,,,,,,,,,,,
1.72,42.5,55.78,318.31,,,,,,,,,,,,,,,,,,,,,,
1.34,42.1,56.56,318.31,,,,,,,,,,,,,,,,,,,,,,
1.18,41.96,56.86,318.31,,,,,,,,,,,,,,,,,,,,,,
2.33,45.82,51.85,318.31,,,,,,,,,,,,,,,,,,,,,,
2.07,46.47,51.46,318.31,,,,,,,,,,,,,,,,,,,,,,
1.81,47.28,50.91,318.31,,,,,,,,,,,,,,,,,,,,,,
1.4,48.11,50.49,318.31,,,,,,,,,,,,,,,,,,,,,,
0.96,48.6,50.44,318.31,,,,,,,,,,,,,,,,,,,,,,
0.47,49.16,50.38,318.31,,,,,,,,,,,,,,,,,,,,,,
0.81,41.61,57.58,318.31,,,,,,,,,,,,,,,,,,,,,,
0.38,41.38,58.24,318.31,,,,,,,,,,,,,,,,,,,,,,
2.49,44.12,53.4,318.31,,,,,,,,,,,,,,,,,,,,,,
2.58,44.6,52.82,318.31,,,,,,,,,,,,,,,,,,,,,,
2.51,45.18,52.31,318.31,,,,,,,,,,,,,,,,,,,,,,
0.42,34,65.58,318.31,,,,,,,,,,,,,,,,,,,,,,
0.95,33.1,65.95,318.31,,,,,,,,,,,,,,,,,,,,,,
1.44,32.22,66.34,318.31,,,,,,,,,,,,,,,,,,,,,,
1.81,31.48,66.71,318.31,,,,,,,,,,,,,,,,,,,,,,
2.98,26.44,70.58,318.31,,,,,,,,,,,,,,,,,,,,,,
2.87,27.83,69.31,318.31,,,,,,,,,,,,,,,,,,,,,,
2.27,29.7,68.03,318.31,,,,,,,,,,,,,,,,,,,,,,
3.38,23.28,73.34,318.31,,,,,,,,,,,,,,,,,,,,,,
3.53,21.99,74.48,318.31,,,,,,,,,,,,,,,,,,,,,,
3.7,19.54,76.76,318.31,,,,,,,,,,,,,,,,,,,,,,
3.59,18.09,78.32,318.31,,,,,,,,,,,,,,,,,,,,,,
3.68,17.35,78.97,318.31,,,,,,,,,,,,,,,,,,,,,,
3.68,16.8,79.53,318.31,,,,,,,,,,,,,,,,,,,,,,
3.73,15.41,80.86,318.31,,,,,,,,,,,,,,,,,,,,,,
3.7,13.13,83.17,318.31,,,,,,,,,,,,,,,,,,,,,,
3.73,14.03,82.25,318.31,,,,,,,,,,,,,,,,,,,,,,
3.63,9.48,86.88,318.31,,,,,,,,,,,,,,,,,,,,,,
3.46,6.32,90.21,318.31,,,,,,,,,,,,,,,,,,,,,,
3.78,8.19,88.03,318.31,,,,,,,,,,,,,,,,,,,,,,
3.12,0.01,96.87,318.31,,,,,,,,,,,,,,,,,,,,,,
83.02,16.26,0.72,795.78,,,,,,,,,,,,,,,,,,,,,,
82.94,15.24,1.82,795.78,,,,,,,,,,,,,,,,,,,,,,
82.76,14.43,2.81,795.78,,,,,,,,,,,,,,,,,,,,,,
82.52,13.75,3.73,795.78,,,,,,,,,,,,,,,,,,,,,,
82.21,13.21,4.59,795.78,,,,,,,,,,,,,,,,,,,,,,
81.9,12.66,5.44,795.78,,,,,,,,,,,,,,,,,,,,,,
81.55,12.19,6.26,795.78,,,,,,,,,,,,,,,,,,,,,,
81.2,11.71,7.08,795.78,,,,,,,,,,,,,,,,,,,,,,
80.82,11.31,7.87,795.78,,,,,,,,,,,,,,,,,,,,,,
80.41,10.97,8.62,795.78,,,,,,,,,,,,,,,,,,,,,,
80.03,10.56,9.4,795.78,,,,,,,,,,,,,,,,,,,,,,
79.62,10.23,10.15,795.78,,,,,,,,,,,,,,,,,,,,,,
79.21,9.89,10.91,795.78,,,,,,,,,,,,,,,,,,,,,,
78.79,9.55,11.66,795.78,,,,,,,,,,,,,,,,,,,,,,
78.31,9.35,12.34,795.78,,,,,,,,,,,,,,,,,,,,,,
77.87,9.08,13.05,795.78,,,,,,,,,,,,,,,,,,,,,,
77.42,8.81,13.77,795.78,,,,,,,,,,,,,,,,,,,,,,
76.94,8.61,14.45,795.78,,,,,,,,,,,,,,,,,,,,,,
76.46,8.41,15.14,795.78,,,,,,,,,,,,,,,,,,,,,,
76.01,8.14,15.85,795.78,,,,,,,,,,,,,,,,,,,,,,
75.53,7.94,16.53,795.78,,,,,,,,,,,,,,,,,,,,,,
75.05,7.73,17.22,795.78,,,,,,,,,,,,,,,,,,,,,,
74.5,7.67,17.83,795.78,,,,,,,,,,,,,,,,,,,,,,
73.99,7.54,18.48,795.78,,,,,,,,,,,,,,,,,,,,,,
73.51,7.33,19.16,795.78,,,,,,,,,,,,,,,,,,,,,,
72.96,7.27,19.77,795.78,,,,,,,,,,,,,,,,,,,,,,
72.45,7.14,20.42,795.78,,,,,,,,,,,,,,,,,,,,,,
71.93,7,21.07,795.78,,,,,,,,,,,,,,,,,,,,,,
71.38,6.94,21.68,795.78,,,,,,,,,,,,,,,,,,,,,,
70.84,6.87,22.29,795.78,,,,,,,,,,,,,,,,,,,,,,
70.29,6.81,22.9,795.78,,,,,,,,,,,,,,,,,,,,,,
69.74,6.74,23.52,795.78,,,,,,,,,,,,,,,,,,,,,,
69.19,6.68,24.13,795.78,,,,,,,,,,,,,,,,,,,,,,
68.64,6.61,24.74,795.78,,,,,,,,,,,,,,,,,,,,,,
68.1,6.55,25.36,795.78,,,,,,,,,,,,,,,,,,,,,,
67.55,6.48,25.97,795.78,,,,,,,,,,,,,,,,,,,,,,
67,6.42,26.58,795.78,,,,,,,,,,,,,,,,,,,,,,
66.42,6.42,27.16,795.78,,,,,,,,,,,,,,,,,,,,,,
65.84,6.42,27.74,795.78,,,,,,,,,,,,,,,,,,,,,,
65.29,6.36,28.35,795.78,,,,,,,,,,,,,,,,,,,,,,
64.71,6.36,28.93,795.78,,,,,,,,,,,,,,,,,,,,,,
64.16,6.3,29.54,795.78,,,,,,,,,,,,,,,,,,,,,,
63.58,6.3,30.12,795.78,,,,,,,,,,,,,,,,,,,,,,
63,6.3,30.7,795.78,,,,,,,,,,,,,,,,,,,,,,
62.42,6.31,31.28,795.78,,,,,,,,,,,,,,,,,,,,,,
61.87,6.24,31.89,795.78,,,,,,,,,,,,,,,,,,,,,,
61.25,6.31,32.43,795.78,,,,,,,,,,,,,,,,,,,,,,
60.67,6.32,33.01,795.78,,,,,,,,,,,,,,,,,,,,,,
60.09,6.32,33.59,795.78,,,,,,,,,,,,,,,,,,,,,,
59.47,6.39,34.14,795.78,,,,,,,,,,,,,,,,,,,,,,
83.01,15.76,1.23,795.78,,,,,,,,,,,,,,,,,,,,,,
83.03,16.8,0.18,795.78,,,,,,,,,,,,,,,,,,,,,,
78.68,18.94,2.38,795.78,,,,,,,,,,,,,,,,,,,,,,
78.16,18.81,3.03,795.78,,,,,,,,,,,,,,,,,,,,,,
71.99,26.6,1.41,795.78,,,,,,,,,,,,,,,,,,,,,,
71.38,26.67,1.95,795.78,,,,,,,,,,,,,,,,,,,,,,
70.76,26.74,2.5,795.78,,,,,,,,,,,,,,,,,,,,,,
70.15,26.81,3.04,795.78,,,,,,,,,,,,,,,,,,,,,,
69.53,26.88,3.58,795.78,,,,,,,,,,,,,,,,,,,,,,
68.92,26.96,4.13,795.78,,,,,,,,,,,,,,,,,,,,,,
68.33,26.96,4.71,795.78,,,,,,,,,,,,,,,,,,,,,,
67.72,27.03,5.25,795.78,,,,,,,,,,,,,,,,,,,,,,
67.14,27.03,5.83,795.78,,,,,,,,,,,,,,,,,,,,,,
66.56,27.04,6.41,795.78,,,,,,,,,,,,,,,,,,,,,,
65.97,27.04,6.99,795.78,,,,,,,,,,,,,,,,,,,,,,
65.39,27.04,7.56,795.78,,,,,,,,,,,,,,,,,,,,,,
64.81,27.05,8.14,795.78,,,,,,,,,,,,,,,,,,,,,,
64.23,27.05,8.72,795.78,,,,,,,,,,,,,,,,,,,,,,
63.65,27.05,9.3,795.78,,,,,,,,,,,,,,,,,,,,,,
63.1,26.99,9.91,795.78,,,,,,,,,,,,,,,,,,,,,,
62.55,26.92,10.53,795.78,,,,,,,,,,,,,,,,,,,,,,
61.97,26.93,11.1,795.78,,,,,,,,,,,,,,,,,,,,,,
61.39,26.93,11.68,795.78,,,,,,,,,,,,,,,,,,,,,,
60.87,26.8,12.33,795.78,,,,,,,,,,,,,,,,,,,,,,
60.29,26.8,12.91,795.78,,,,,,,,,,,,,,,,,,,,,,
59.74,26.73,13.52,795.78,,,,,,,,,,,,,,,,,,,,,,
59.2,26.67,14.13,795.78,,,,,,,,,,,,,,,,,,,,,,
58.65,26.6,14.75,795.78,,,,,,,,,,,,,,,,,,,,,,
58.13,26.47,15.39,795.78,,,,,,,,,,,,,,,,,,,,,,
57.55,26.47,15.97,795.78,,,,,,,,,,,,,,,,,,,,,,
57.04,26.34,16.62,795.78,,,,,,,,,,,,,,,,,,,,,,
56.49,26.28,17.23,795.78,,,,,,,,,,,,,,,,,,,,,,
55.98,26.14,17.88,795.78,,,,,,,,,,,,,,,,,,,,,,
55.43,26.08,18.49,795.78,,,,,,,,,,,,,,,,,,,,,,
54.88,26.01,19.11,795.78,,,,,,,,,,,,,,,,,,,,,,
54.37,25.88,19.75,795.78,,,,,,,,,,,,,,,,,,,,,,
53.85,25.75,20.4,795.78,,,,,,,,,,,,,,,,,,,,,,
53.34,25.61,21.05,795.78,,,,,,,,,,,,,,,,,,,,,,
52.82,25.48,21.7,795.78,,,,,,,,,,,,,,,,,,,,,,
52.31,25.35,22.34,795.78,,,,,,,,,,,,,,,,,,,,,,
51.8,25.21,22.99,795.78,,,,,,,,,,,,,,,,,,,,,,
51.25,25.15,23.6,795.78,,,,,,,,,,,,,,,,,,,,,,
50.77,24.95,24.29,795.78,,,,,,,,,,,,,,,,,,,,,,
50.29,24.75,24.97,795.78,,,,,,,,,,,,,,,,,,,,,,
49.81,24.54,25.65,795.78,,,,,,,,,,,,,,,,,,,,,,
49.33,24.34,26.33,795.78,,,,,,,,,,,,,,,,,,,,,,
48.85,24.14,27.01,795.78,,,,,,,,,,,,,,,,,,,,,,
48.33,24.01,27.66,795.78,,,,,,,,,,,,,,,,,,,,,,
47.85,23.81,28.34,795.78,,,,,,,,,,,,,,,,,,,,,,
47.37,23.6,29.02,795.78,,,,,,,,,,,,,,,,,,,,,,
46.89,23.4,29.71,795.78,,,,,,,,,,,,,,,,,,,,,,
46.44,23.13,30.42,795.78,,,,,,,,,,,,,,,,,,,,,,
45.96,22.93,31.1,795.78,,,,,,,,,,,,,,,,,,,,,,
45.48,22.73,31.79,795.78,,,,,,,,,,,,,,,,,,,,,,
45.04,22.46,32.5,795.78,,,,,,,,,,,,,,,,,,,,,,
44.56,22.26,33.19,795.78,,,,,,,,,,,,,,,,,,,,,,
44.11,21.99,33.9,795.78,,,,,,,,,,,,,,,,,,,,,,
72.63,26.56,0.8,795.78,,,,,,,,,,,,,,,,,,,,,,
73.32,26.54,0.15,795.78,,,,,,,,,,,,,,,,,,,,,,
43.69,21.7,34.61,795.78,,,,,,,,,,,,,,,,,,,,,,
43.23,21.35,35.41,795.78,,,,,,,,,,,,,,,,,,,,,,
42.73,21.01,36.26,795.78,,,,,,,,,,,,,,,,,,,,,,
42.24,20.78,36.98,795.78,,,,,,,,,,,,,,,,,,,,,,
41.8,20.55,37.65,795.78,,,,,,,,,,,,,,,,,,,,,,
41.4,20.21,38.39,795.78,,,,,,,,,,,,,,,,,,,,,,
40.98,19.98,39.04,795.78,,,,,,,,,,,,,,,,,,,,,,
40.41,19.61,39.97,795.78,,,,,,,,,,,,,,,,,,,,,,
39.98,19.23,40.8,795.78,,,,,,,,,,,,,,,,,,,,,,
39.5,18.88,41.62,795.78,,,,,,,,,,,,,,,,,,,,,,
39.17,18.47,42.36,795.78,,,,,,,,,,,,,,,,,,,,,,
38.65,18.06,43.3,795.78,,,,,,,,,,,,,,,,,,,,,,
38.18,17.53,44.29,795.78,,,,,,,,,,,,,,,,,,,,,,
37.79,17.09,45.12,795.78,,,,,,,,,,,,,,,,,,,,,,
